Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,7.242000,7.295000,7.236000,7.247500,7.247500,4011536
2020-05-12,7.232000,7.326700,7.220000,7.267500,7.267500,1686257
2020-05-13,7.340000,7.361000,7.326000,7.356000,7.356000,2169310
2020-05-14,7.433000,7.480000,7.422000,7.470000,7.470000,208632
2020-05-15,7.449000,7.489000,7.415000,7.413000,7.413000,330866
2020-05-18,7.355000,7.376000,7.251000,7.251000,7.251000,90294
2020-05-19,7.249000,7.277000,7.200000,7.244500,7.244500,222046
2020-05-20,7.284000,7.288000,7.240000,7.252000,7.252000,58762
2020-05-21,7.331000,7.351000,7.305000,7.340500,7.340500,48942
2020-05-22,7.374000,7.392900,7.315000,7.349500,7.349500,272620
2020-05-26,7.271000,7.296000,7.251000,7.256500,7.256500,297891
2020-05-27,7.251000,7.275000,7.200000,7.265500,7.265500,154774
2020-05-28,7.235000,7.247000,7.198000,7.211000,7.211000,178997
2020-05-29,7.247000,7.260000,7.210000,7.245000,7.245000,192459
2020-06-01,7.229000,7.273000,7.188000,7.204500,7.204500,108078
2020-06-02,7.243000,7.243000,7.183000,7.196000,7.196000,28638
2020-06-03,7.165000,7.165000,7.059000,7.089500,7.089500,435897
2020-06-04,7.113000,7.129000,7.015000,7.039000,7.039000,669973
2020-06-05,6.951000,6.959000,6.822000,6.835000,6.835000,290103
2020-06-08,6.902000,6.949000,6.879000,6.947000,6.947000,71215
2020-06-09,7.005000,7.104000,7.005000,7.062000,7.062000,261795
2020-06-10,7.093000,7.122000,7.072000,7.123500,7.123500,244000
2020-06-11,7.199000,7.285000,7.174000,7.249500,7.249500,185746
2020-06-12,7.283000,7.283000,7.196000,7.254000,7.254000,80397
2020-06-15,7.295000,7.280400,7.256400,7.264000,7.264000,136134
2020-06-16,7.173000,7.178000,7.074000,7.171000,7.171000,339059
2020-06-17,7.104000,7.146000,7.081000,7.111000,7.111000,117553
2020-06-18,7.178000,7.211600,7.153000,7.209000,7.209000,210322
2020-06-19,7.170000,7.200000,7.141000,7.183000,7.183000,91841
2020-06-22,7.170000,7.269000,7.170000,7.249500,7.249500,482878
2020-06-23,7.197000,7.216000,7.164000,7.175000,7.175000,139824
2020-06-24,7.175000,7.243000,7.175000,7.238000,7.238000,164835
2020-06-25,7.300000,7.311000,7.286000,7.294000,7.294000,96099
2020-06-26,7.298000,7.349000,7.285000,7.349000,7.349000,56599
2020-06-29,7.308000,7.356000,7.308000,7.338500,7.338500,125582
2020-06-30,7.335000,7.357000,7.320000,7.340000,7.340000,623994
2020-07-01,7.265000,7.278000,7.215000,7.278000,7.278000,306787
2020-07-02,7.293000,7.293000,7.218000,7.272000,7.272000,109228
2020-07-03,7.285000,7.309000,7.267000,7.288500,7.288500,111726
2020-07-06,7.237000,7.256000,7.208000,7.233000,7.233000,103981
2020-07-07,7.265000,7.297000,7.264000,7.276000,7.276000,134147
2020-07-08,7.355000,7.355000,7.294000,7.337000,7.337000,606473
2020-07-09,7.330000,7.404000,7.324000,7.404000,7.404000,237352
2020-07-10,7.489000,7.516000,7.455000,7.469000,7.469000,402029
2020-07-13,7.395000,7.417000,7.354000,7.380000,7.380000,89684
2020-07-14,7.447000,7.481000,7.417800,7.464500,7.464500,71717
2020-07-15,7.448000,7.451000,7.374000,7.423000,7.423000,82967
2020-07-16,7.448000,7.473000,7.425000,7.463500,7.463500,68209
2020-07-17,7.453000,7.482000,7.432800,7.446000,7.446000,51982
2020-07-20,7.434000,7.468000,7.416000,7.438000,7.438000,125446
2020-07-21,7.449000,7.467000,7.429000,7.467000,7.467000,51239
2020-07-22,7.462000,7.507000,7.444200,7.492000,7.492000,160764
2020-07-23,7.488000,7.540000,7.477000,7.531500,7.531500,69947
