"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07, 2000","3,713.3","3,713.3","3,713.3","3,713.3","-","2.54%"
"Aug 04, 2000","3,621.4","3,621.4","3,621.4","3,621.4","-","-0.14%"
"Aug 03, 2000","3,626.3","3,626.3","3,626.3","3,626.3","-","3.82%"
"Aug 02, 2000","3,493.0","3,493.0","3,493.0","3,493.0","-","-0.87%"
"Aug 01, 2000","3,523.8","3,523.8","3,523.8","3,523.8","-","-2.44%"
"Jul 31, 2000","3,612.1","3,612.1","3,612.1","3,612.1","-","3.80%"
"Jul 28, 2000","3,479.9","3,479.9","3,479.9","3,479.9","-","-5.55%"
"Jul 27, 2000","3,684.4","3,684.4","3,684.4","3,684.4","-","-3.58%"
"Jul 26, 2000","3,821.1","3,821.1","3,821.1","3,821.1","-","-1.22%"
"Jul 25, 2000","3,868.3","3,868.3","3,868.3","3,868.3","-","1.97%"
"Jul 24, 2000","3,793.4","3,793.4","3,793.4","3,793.4","-","-3.02%"
"Jul 21, 2000","3,911.7","3,911.7","3,911.7","3,911.7","-","-2.17%"
"Jul 20, 2000","3,998.4","3,998.4","3,998.4","3,998.4","-","3.94%"
"Jul 19, 2000","3,846.8","3,846.8","3,846.8","3,846.8","-","-2.95%"
"Jul 18, 2000","3,963.9","3,963.9","3,963.9","3,963.9","-","-2.48%"
"Jul 17, 2000","4,064.9","4,064.9","4,064.9","4,064.9","-","0.51%"
"Jul 14, 2000","4,044.2","4,044.2","4,044.2","4,044.2","-","2.14%"
"Jul 13, 2000","3,959.6","3,959.6","3,959.6","3,959.6","-","1.42%"
"Jul 12, 2000","3,904.0","3,904.0","3,904.0","3,904.0","-","4.18%"
